date,ticker,price_local_currency,currency,conversion_rate,price_usd,shares,market_cap_usd
2017-11-01,MSFT,76.85102844238281,USD,1.0,76.85102844238281,7425629076,570667231322.2607
2017-12-01,MSFT,78.49414825439453,USD,1.0,78.49414825439453,7425629076,582868429573.6866
2018-01-01,MSFT,87.1841049194336,USD,1.0,87.1841049194336,7425629076,647396824454.7808
2018-02-01,MSFT,86.04622650146484,USD,1.0,86.04622650146484,7425629076,638947361389.3591
2018-03-01,MSFT,84.14557647705078,USD,1.0,84.14557647705078,7425629076,624833839304.7699
2018-04-01,MSFT,86.21993255615234,USD,1.0,86.21993255615234,7425629076,640237238119.7239
2018-05-01,MSFT,91.1246566772461,USD,1.0,91.1246566772461,7425629076,676657900163.0762
2018-06-01,MSFT,91.30670166015624,USD,1.0,91.30670166015624,7425629076,678009698681.3136
2018-07-01,MSFT,98.22344970703124,USD,1.0,98.22344970703124,7425629076,729370904089.5548
2018-08-01,MSFT,104.01053619384766,USD,1.0,104.01053619384766,7425629076,772343661771.3855
2018-09-01,MSFT,106.30696868896484,USD,1.0,106.30696868896484,7425629076,789396117678.199
2018-10-01,MSFT,99.27994537353516,USD,1.0,99.27994537353516,7425629076,737216049029.4143
2018-11-01,MSFT,103.0723114013672,USD,1.0,103.0723114013672,7425629076,765376752472.5186
2018-12-01,MSFT,94.8172378540039,USD,1.0,94.8172378540039,7425629076,704077638314.6992
2019-01-01,MSFT,97.48709106445312,USD,1.0,97.48709106445312,7425629076,723902977942.8629
2019-02-01,MSFT,104.5818099975586,USD,1.0,104.5818099975586,7425629076,776585729138.5786
2019-03-01,MSFT,110.569091796875,USD,1.0,110.569091796875,7425629076,821045062953.7881
2019-04-01,MSFT,122.43789672851562,USD,1.0,122.43789672851562,7425629076,909178405951.5509
2019-05-01,MSFT,115.95037078857422,USD,1.0,115.95037078857422,7425629076,861004444700.6178
2019-06-01,MSFT,126.05276489257812,USD,1.0,126.05276489257812,7425629076,936021076096.5201
